"WT1","WT2","WT3","NEG1","NEG2","NEG3","pos","Potential.contaminant","Reverse","ids"
7629500,1675500,7385300,88198000,29576000,31650000,FALSE,"","","P9652730"
10107000,0,0,14099000,0,0,FALSE,"","","P8296403"
47039000,15328000,6511800,35930000,15332000,42018000,FALSE,"","","P8792053"
2146400,0,0,0,0,0,FALSE,"+","","P5360184"
22016000,42241000,14766000,18576000,23121000,9488000,FALSE,"","","P2960438"
5469300,0,843310,6440600,0,2466400,FALSE,"+","","P9428015"
12897000,4153300,5702900,23523000,6222900,0,FALSE,"","","P2567438"
1474900,0,0,0,0,0,FALSE,"","","P4897236"
0,0,0,2792700,1036400,2606100,FALSE,"","","P0914358"
821670000,305920000,429250000,1103900000,395490000,6.98e+08,FALSE,"","","P9234685"
151260000,58169000,25223000,121430000,45292000,46983000,FALSE,"","","P2178096"
0,0,0,335250,0,4583700,FALSE,"","","P8391740"
2370400,0,0,0,0,0,FALSE,"","","P3964701"
65780000,92403000,138640000,133200000,100340000,85422000,FALSE,"","","P4375861"
20098000,5304800,3510300,13380000,4277100,1618600,FALSE,"","","P4726813"
2939000,3870700,0,0,0,498070,FALSE,"","","P4761932"
17733000,10804000,12662000,12630000,10602000,4731200,FALSE,"","","P9601853"
181610000,149850000,108220000,176540000,59227000,49963000,FALSE,"","","P8614059"
69565000,56847000,69973000,178510000,61707000,57597000,FALSE,"","","P4270936"
5428100,0,0,3929800,1526900,0,FALSE,"","","P7624905"
0,0,0,0,0,4105300,FALSE,"","","P9438125"
0,0,0,0,0,6972000,FALSE,"","","P7168539"
12306000,7023500,4721300,20057000,5762700,2117300,FALSE,"","","P6957840"
4238100,2170400,1945900,3687400,938910,0,FALSE,"","","P9261043"
4065400,1093600,0,0,0,1414200,FALSE,"","","P7389210"
207960000,198120000,197180000,341330000,198950000,233790000,FALSE,"","","P1976850"
35291000,18061000,15856000,42031000,19183000,24291000,FALSE,"","","P1534260"
6886500,2464200,0,9199200,2545800,8239900,FALSE,"","","P2673495"
1999900,1046300,2334300,6594800,3273400,38751000,FALSE,"","","P1704689"
28893000,11363000,2956200,17697000,4131700,1255100,FALSE,"","","P0715264"
0,0,0,4400700,0,0,FALSE,"","","P8495603"
4192400,1727800,0,3661200,0,6012600,FALSE,"","","P3685074"
42410000,38707000,23230000,61011000,28443000,30561000,FALSE,"","","P1593472"
0,2680100,0,3735000,627770,0,FALSE,"","","P5893264"
5.6631e+10,3.003e+10,5.2598e+10,5.7207e+10,3.5477e+10,4.1366e+10,FALSE,"","","P5763480"
